fda_id,pat_id,doc_full_text,pat_full_text,label
P100045,5919226,"System, Hemodynamic, Implantable. CARDIOMEMS HF SYSTEM, WHICH INCLUDES CM2000 IMPLANTABLE PA SENSOR/MONITOR AND TRANSVENOUS CA TER DELIVERY SYSTEM, CM1000 PATIENT ELECTRONICS SYSTEM (GSM), CM1010 PATIENT ELECTRONICS SYSTEM (GSM), AND CM3000 HOSPITAL ELECTRONICS SYSTEM. WIRELESSLY MEASURING AND MONITORING PULMONARY ARTERY (PA) PRESSURE AND HEART RATE IN NEW YORK HEART ASSOCIATION (NYHA) CLASS III HEART FAILURE PATIENTS WHO HAVE BEEN HOSPITALIZED FOR HEART FAILURE IN PREVIOUS YEAR. HEMODYNAMIC DATA ARE USED BY PHYSICIANS FOR HEART FAILURE MANAGEMENT AND WITH GOAL OF REDUCING HEART FAILURE HOSPITALIZATIONS.","Mechanical heart valve prosthesis.  An improved artificial mechanical heart valve prosthesis having an improved leaflet hinge mechanism which improves washing of the hinge recess, reduces leaflet closing impact force and decreases noise and wear. A generally annular valve body having an annular interior surface extending between an inflow rim and an outflow rim thereof defines an annular orifice therethrough. A pair of leaflets are supported on said annular valve body for alternately blocking blood flow in an inflow direction when seated against the annular interior side wall in a closed position and then allowing the flow of blood through said annular orifice in a predetermined blood outflow direction when rotated into an open position. Each leaflet is supported for pivotal movement by a pair of hinge mechanisms comprising a pair of convexly extending leaflet ears that each fit within a hinge recess formed in parallel planar surfaces of the annular interior side wall. A relatively shallow inflow or entrance ramp is ach",0
P160014,10583009,"STENT, CORONARY. COBRA PzF NanoCoated Coronary Stent System is indicated for improving coronary luminal diameter in patients, including patients with diabetes mellitus, with symptomatic ischemic heart disease due to do novo lesions in native coronary arteries. COBRA PzF Stent System is intended for use in patients eligible for percutaneous transluminal coronary angioplasty (PTCA) with a reference vessel diameter of 2.5-4.0 mm and lesion length of <24 mm.","Mitral valve prosthesis. A method of treating a defective mitral valve includes percutaneously advancing a prosthetic device into a patient's heart. The prosthetic device includes an insert member and anchoring member. The prosthetic device is contained within a sheath along a distal end of a delivery catheter during advancement. The anchoring member is secured to a muscular wall of the left ventricle and the insert member self-expands between native leaflets of the mitral valve. The insert member preferably includes a biocompatible fabric outer layer, a passageway, and a valve member disposed within the passageway. After deployment, the native leaflets of the mitral valve form a tight seal against the fabric outer layer of the insert member for preventing regurgitation, while blood passes through the passageway of the insert member for allowing blood to pass from the left atrium to the left ventricle.",0
P880003,10489666,"Catheters, Transluminal Coronary Angioplasty, Percutaneous. 2 Classification; PTCA balloon ca ter; PTCA ca ter; Standard PTCA Ca ter - 1 Identification b Cutting/scoring PTCA Ca ter - 1 Identification; balloon; ca ter features; coronary ischemia; cutting/scoring PTCA ca ter; fluoroscopic visualization; graft stenosis; high pressure balloon resistant lesion; myocardial perfusion; premarket; single double lumen shaft type; § 870.1e",Imaging device and imaging system. An object of the present disclosure is to increase resolution of a part required for sensing while achieving a wide view angle. An imaging device according to the present disclosure includes an image sensor and an optical system. An imaging surface of the image sensor includes a first region and a second region different from the first region. The optical system forms a subject image on the imaging surface so as to cause resolution of an image in the first region to be higher than resolution of an image in the second region. The first region is arranged so as to include a region where an image of a person's face is formed on the imaging surface.,0
P870036,9511206,"Catheters, Transluminal Coronary Angioplasty, Percutaneous. 2 Classification; PTCA balloon ca ter; PTCA ca ter; Standard PTCA Ca ter - 1 Identification b Cutting/scoring PTCA Ca ter - 1 Identification; balloon; ca ter features; coronary ischemia; cutting/scoring PTCA ca ter; fluoroscopic visualization; graft stenosis; high pressure balloon resistant lesion; myocardial perfusion; premarket; single double lumen shaft type; § 870.1e","Anchoring nerve block catheter. The invention relates to medical devices and, particularly, catheter medical devices. In an aspect is a nerve block catheter system comprising a dual-sheath catheter comprising an inner sheath and an outer sheath, wherein distal ends of the sheaths are connected, the inner sheath defines a fluid delivery lumen, and the outer sheath comprises a tissue lock movable between a collapsed position and an extended position, wherein the tissue lock forms a reversible tissue anchor when in the extended position, and an actuator connected to the proximate end of the catheter and configured to activate the tissue lock by sliding the outer sheath length-wise relative to the inner sheath.",0
P030035,10226278,"Defibrillator, Automatic Implantable Cardioverter, With Cardiac Resynchronization (CRT-D). ST. JUDE FRONTIER BIVENTRICULAR CARDIAC PACING SYSTEM. FRONTIER BIVENTRICULAR PACING SYSTEM IS INDICATED FOR MAINTAINING SYNCHRONY OF LEFT AND RIGHT VENTRICLES IN PATIENTS WHO HAVE UNDERGONE AN AV NODAL ABLATION FOR CHRONIC ATRIAL FIBRILLATION AND HAVE NYHA CLASS II OR III HEART FAILURE.","Method for painless renal denervation using a peri-vascular tissue ablation catheter with support structures. An intravascular catheter for peri-vascular or peri-urethral tissue ablation includes multiple needles advanced through supported guide tubes which expand around a central axis to engage the interior surface of the wall of the renal artery or other vessel of a human body allowing the injection an ablative fluid for ablating tissue, or nerve fibers in the outer layer or deep to the outer layer of the vessel, or in prostatic tissue. A method can involve injection of the ablative fluid over an extended time period of at least 10 seconds or with two injections at two different penetration depths to reduce or eliminate patient pain during ablation.",0
P900056,5605539,"CATHETER, CORONARY, ATHERECTOMY. ","Self-introducing infusion catheter.  A self-introducing infusion catheter comprises a substantially rigid, elongate shaft having a longitudinal passage therethrough and an infusion port at its distal end. An electrode is further mounted at the distal end. The electrode is electrically coupled to a connector at the proximal end of the shaft which may be connected to an electrosurgical power supply. The connector is further in communication with the passage in the shaft and provides fluid connection with an infusion fluid delivery device. In the method of the invention, the catheter is connected to an electrosurgical power supply and ablative energy is applied to abdominal tissue through the electrode. This facilitates penetration of the tissue to position the device in the abdominal cavity through the abdominal wall. The distal end of the catheter is positioned through an incision in a body structure, such as the cystic duct, and the proximal end is connected to an infusion fluid delivery device. The distal end is clamped",0
P060006,6887263,"STENT, RENAL. BOSTON SCIENTIFIC EXPRESS SD RENAL MONORAIL PREMOUNTED STENT SYSTEM. DEVICE IS INDICATED AS AN ADJUNCT TO PERCUTANEOUS TRANSLUMINAL RENAL ANGIOPLASTY (PTRA) OF A SINGLE DE NOVO OR RESTENOTIC A ROSCLEROTIC LESION (<=15 MM IN LENGTH) OF RENAL ARTERY, LOCATED WITHIN 5 MM OF OPACIFIED AORTIC LUMEN, WITH A REFERENCE VESSEL DIAMETER OF 4.0 ¿ 7.0 MM TO ASSIST IN MAINTENANCE OF VESSEL PATENCY.","Valved connector assembly and sterility barriers for heat exchange catheters and other closed loop catheters. A connector assembly for catheters having closed loop flow circuits, such as some balloon catheters and heat exchange catheters. The connector assembly comprises first and second connector bodies that may be connected and disconnected from one another. When the connector bodies are disconnected, a syringe or negative pressure source may be attached to withdraw residual fluid from the catheter's closed loop circuit and to deflate any expandable portion of the closed loop circuit (e.g., balloon or expandable heat exchanger). A one way flow valve prevents make up air or other fluid from entering the catheter while the negative pressure is being applied. Also disclosed are sterility barrier assemblies for all types of catheters. Such sterility barrier assemblies are operative to prevent contamination of the portion of a catheter that remains outside of a patient's body so that the catheter may subsequently be further advanced into the patient's body without introducing microbes or other co",0
P200049,11534174,"System, Appendage Closure, Left Atrial. Amplatzer Amulet Left Atrial Appendage Occluder. device is a percutaneous transca ter device intended to reduce risk of thrombus embolization from left atrial appendage (LAA) in patients who have nonvalvular atrial fibrillation and who are at increased risk for stroke and systemic embolism based on CHADS2 or CHA2DS2-VASc scores, are suitable for short term anticoagulation rapy, and have appropriate rationale to seek a non-pharmacologic alternative to oral anticoagulation, taking into consideration safety and effectiveness of device.","Percutaneous catheter directed intravascular occlusion devices. Embodiments of the present invention provide an improved vascular occlusion device for occlusion of a passageway, cavity, or the like. According to one embodiment, a medical device for occluding a left atrial appendage is provided. The medical device includes a first portion having at least one plane of occlusion that is configured to be positioned outside of the left atrial appendage, and a second portion having at least one plane of occlusion that is configured to be at least partially positioned within a cavity defined by the left atrial appendage.",1
P220021,11801630,"Stent Graft, Bypass, Superficial Femoral Artery. DETOUR System for use for percutaneous revascularization in patients with symptomatic femoropopliteal lesions from 200 mm to 460 mm in length with chronic total occlusions (100 mm to 425 mm) or diffuse stenosis >70% who may be considered suboptimal candidates for surgical or alternative endovascular treatments. DETOUR System, or any of its components, is not for use in coronary and cerebral vasculature.","Method and system for fabricating object featuring properties of a blood vessel. A tubular structure fabricated by additive manufacturing from non-biological building material formulations, and featuring an elongated core, a shell encapsulating the core and an intermediate shell between the core and the shell. Each of the core, the shell and the intermediate shell is made of a different material or a different combination of materials. Both the core and the intermediate shell are sacrificial. Additive manufacturing of the tubular structure is usable for fabricating an object featuring properties of a blood vessel.",0
P060033,5531689,"Coronary Drug-Eluting Stent. ENDEAVOR ZOTAROLIMUS-ELUTING CORONARY STENT ON OVER- -WIRE (OTW), RAPID EXCHANGE (RX), OR MULTI-EXCHANGE II (MX2) STENT DELIVERY SYSTEMS. IMPROVING CORONARY LUMINAL DIAMETER IN PATIENTS WITH ISCHEMIC HEART DISEASE DUE TO DE NOVO LESIONS OF LENGTH <= 27 MM IN NATIVE CORONARY ARTERIES WITH REFERENCE VESSELL DIAMETERS OF >= 25 MM TO <= 3.5 MM.","Innerless dilatation balloon catheter. An ""innerless"" balloon catheter controls fluid flow past the guide wire at the distal end of the catheter by a combination of flow resistance and a pressure responsive valve. The catheter includes a shaft which carries an inflatable balloon at its distal end. The shaft has a lumen therethrough with the lumen being in fluid communication with the balloon interior for inflating and deflating the balloon via the shaft lumen. The catheter further includes a lumen extension through the balloon, with the lumen extension being in fluid communication with the shaft lumen. A guide wire extends through the shaft lumen and the lumen extension and out the distal end of the balloon. The resistance to fluid flow past the guide wire in the lumen extension is substantially greater than the resistance to fluid flow between the shaft lumen and the balloon interior. A valve member is responsive to the pressure in the balloon interior for blocking fluid flow through the lumen extension during continuing i",0
P880003,10478161,"Catheters, Transluminal Coronary Angioplasty, Percutaneous. 2 Classification; PTCA balloon ca ter; PTCA ca ter; Standard PTCA Ca ter - 1 Identification b Cutting/scoring PTCA Ca ter - 1 Identification; balloon; ca ter features; coronary ischemia; cutting/scoring PTCA ca ter; fluoroscopic visualization; graft stenosis; high pressure balloon resistant lesion; myocardial perfusion; premarket; single double lumen shaft type; § 870.1e","Tissue cutting member for a biopsy device. A method for forming a tissue cutting member includes: providing a single longitudinally oriented opening in a side wall in a flared distal section of a distal tubular portion which radially opens to a lumen of the distal tubular portion, the single longitudinally oriented opening having an open distal end and extending from a closed proximal end to the open distal end; and providing a relief opening at the closed proximal end of the single longitudinally oriented opening, the relief opening having a transverse dimension larger than a transverse dimension of the single longitudinally oriented opening adjacent the relief opening, the single longitudinally oriented opening diverging from the closed proximal end to intersect a trailing cutting edge of a beveled front face of the inclined distal tip of the distal tubular portion and facilitating formation of the outwardly flared distal tubular portion.",0
P890043,8702750,"CATHETER, CORONARY, ATHERECTOMY. ","Apparatus for closing vascular puncture. A method and apparatus for closing a vascular wound includes a guidewire and/or other surgical implement extending from the wound. A hemostatic material is advanced over the surgical implement and into contact with an area of the blood vessel surrounding the wound. The surgical implement is removed. Blood soaks the hemostatic material, and blood clotting is facilitated by the hemostatic agent within the material. A sealing layer of adhesive can be applied to the hemostatic material, confining the blood flow to the material. The vascular puncture wound is sealed by natural blood clot formation.",0
